FeatureValue,FeatureHex,FeatureName,Characteristics,sample_group,TCGA Studies,FeatureDisplayName
GI.MSI,#43AAE0,GI.MSI,Cancer cell 2018 ; https://doi.org/10.1016/j.ccell.2018.03.010,Subtype_Curated_Malta_Noushmehr_et_al,ESCA/STAD/COAD/READ,Gastrointestinal carcinoma (ESCA/STAD/COAD/READ)
GI.HM-SNV,#FAB03B,GI.HM-SNV,Cancer cell 2018 ; https://doi.org/10.1016/j.ccell.2018.03.010,Subtype_Curated_Malta_Noushmehr_et_al,ESCA/STAD/COAD/READ,Gastrointestinal carcinoma (ESCA/STAD/COAD/READ)
HNSC.Atypical,#E41A1C,HNSC.Atypical,Nature 2015 ; http://www.nature.com/nature/journal/v517/n7536/full/nature14129.html,Subtype_Curated_Malta_Noushmehr_et_al,HNSC,Head and Neck squamous cell carcinoma (HNSC)
HNSC.Basal,#377EB8,HNSC.Basal,Nature 2015 ; http://www.nature.com/nature/journal/v517/n7536/full/nature14129.html,Subtype_Curated_Malta_Noushmehr_et_al,HNSC,Head and Neck squamous cell carcinoma (HNSC)
HNSC.Classical,#4DAF4A,HNSC.Classical,Nature 2015 ; http://www.nature.com/nature/journal/v517/n7536/full/nature14129.html,Subtype_Curated_Malta_Noushmehr_et_al,HNSC,Head and Neck squamous cell carcinoma (HNSC)
HNSC.Mesenchymal,#984EA3,HNSC.Mesenchymal,Nature 2015 ; http://www.nature.com/nature/journal/v517/n7536/full/nature14129.html,Subtype_Curated_Malta_Noushmehr_et_al,HNSC,Head and Neck squamous cell carcinoma (HNSC)
KICH.Eosin.0,#E41A1C,KICH.Eosin.0,Cancer Cell 2014 ; http://www.cell.com/cancer-cell/abstract/S1535-6108(14)00304-3,Subtype_Curated_Malta_Noushmehr_et_al,KICH,Kidney Chromophobe (KICH)
KICH.Eosin.1,#377EB8,KICH.Eosin.1,Cancer Cell 2014 ; http://www.cell.com/cancer-cell/abstract/S1535-6108(14)00304-3,Subtype_Curated_Malta_Noushmehr_et_al,KICH,Kidney Chromophobe (KICH)
KIRC.,#E41A1C,KIRC.,Nature 2013 ; http://www.nature.com/nature/journal/v499/n7456/full/nature12222.html,Subtype_Curated_Malta_Noushmehr_et_al,KIRC,Kidney renal clear cell carcinoma (KIRC)
KIRC.1,#377EB8,KIRC.1,Nature 2013 ; http://www.nature.com/nature/journal/v499/n7456/full/nature12222.html,Subtype_Curated_Malta_Noushmehr_et_al,KIRC,Kidney renal clear cell carcinoma (KIRC)
KIRC.2,#4DAF4A,KIRC.2,Nature 2013 ; http://www.nature.com/nature/journal/v499/n7456/full/nature12222.html,Subtype_Curated_Malta_Noushmehr_et_al,KIRC,Kidney renal clear cell carcinoma (KIRC)
KIRC.3,#984EA3,KIRC.3,Nature 2013 ; http://www.nature.com/nature/journal/v499/n7456/full/nature12222.html,Subtype_Curated_Malta_Noushmehr_et_al,KIRC,Kidney renal clear cell carcinoma (KIRC)
KIRC.4,#FF7F00,KIRC.4,Nature 2013 ; http://www.nature.com/nature/journal/v499/n7456/full/nature12222.html,Subtype_Curated_Malta_Noushmehr_et_al,KIRC,Kidney renal clear cell carcinoma (KIRC)
KIRP.C1,#E41A1C,KIRP.C1,NEJM 2015 ; http://www.nejm.org/doi/full/10.1056/NEJMoa1505917#t=article,Subtype_Curated_Malta_Noushmehr_et_al,KIRP,Kidney renal papillary cell carcinoma (KIRP)
KIRP.C2a,#377EB8,KIRP.C2a,NEJM 2015 ; http://www.nejm.org/doi/full/10.1056/NEJMoa1505917#t=article,Subtype_Curated_Malta_Noushmehr_et_al,KIRP,Kidney renal papillary cell carcinoma (KIRP)
KIRP.C2b,#4DAF4A,KIRP.C2b,NEJM 2015 ; http://www.nejm.org/doi/full/10.1056/NEJMoa1505917#t=article,Subtype_Curated_Malta_Noushmehr_et_al,KIRP,Kidney renal papillary cell carcinoma (KIRP)
KIRP.C2c - CIMP,#984EA3,KIRP.C2c - CIMP,NEJM 2015 ; http://www.nejm.org/doi/full/10.1056/NEJMoa1505917#t=article,Subtype_Curated_Malta_Noushmehr_et_al,KIRP,Kidney renal papillary cell carcinoma (KIRP)
LIHC.,#E41A1C,LIHC.,Cell 2017 ; http://linkinghub.elsevier.com/retrieve/pii/S0092-8674(17)30639-6,Subtype_Curated_Malta_Noushmehr_et_al,LIHC,Liver hepatocellular carcinoma (LIHC)
LIHC.iCluster:1,#377EB8,LIHC.iCluster:1,Cell 2017 ; http://linkinghub.elsevier.com/retrieve/pii/S0092-8674(17)30639-6,Subtype_Curated_Malta_Noushmehr_et_al,LIHC,Liver hepatocellular carcinoma (LIHC)
LIHC.iCluster:2,#4DAF4A,LIHC.iCluster:2,Cell 2017 ; http://linkinghub.elsevier.com/retrieve/pii/S0092-8674(17)30639-6,Subtype_Curated_Malta_Noushmehr_et_al,LIHC,Liver hepatocellular carcinoma (LIHC)
LIHC.iCluster:3,#984EA3,LIHC.iCluster:3,Cell 2017 ; http://linkinghub.elsevier.com/retrieve/pii/S0092-8674(17)30639-6,Subtype_Curated_Malta_Noushmehr_et_al,LIHC,Liver hepatocellular carcinoma (LIHC)
LUAD.1,#E41A1C,LUAD.1,Nature 2014 ; http://www.nature.com/nature/journal/v511/n7511/full/nature13385.html,Subtype_Curated_Malta_Noushmehr_et_al,LUAD,Lung adenocarcinoma (LUAD)
LUAD.2,#377EB8,LUAD.2,Nature 2014 ; http://www.nature.com/nature/journal/v511/n7511/full/nature13385.html,Subtype_Curated_Malta_Noushmehr_et_al,LUAD,Lung adenocarcinoma (LUAD)
LUAD.3,#4DAF4A,LUAD.3,Nature 2014 ; http://www.nature.com/nature/journal/v511/n7511/full/nature13385.html,Subtype_Curated_Malta_Noushmehr_et_al,LUAD,Lung adenocarcinoma (LUAD)
LUAD.4,#984EA3,LUAD.4,Nature 2014 ; http://www.nature.com/nature/journal/v511/n7511/full/nature13385.html,Subtype_Curated_Malta_Noushmehr_et_al,LUAD,Lung adenocarcinoma (LUAD)
LUAD.5,#FF7F00,LUAD.5,Nature 2014 ; http://www.nature.com/nature/journal/v511/n7511/full/nature13385.html,Subtype_Curated_Malta_Noushmehr_et_al,LUAD,Lung adenocarcinoma (LUAD)
LUAD.6,#FFFF33,LUAD.6,Nature 2014 ; http://www.nature.com/nature/journal/v511/n7511/full/nature13385.html,Subtype_Curated_Malta_Noushmehr_et_al,LUAD,Lung adenocarcinoma (LUAD)
LUSC.basal,#E41A1C,LUSC.basal,Nature 2012 ; http://www.nature.com/nature/journal/v489/n7417/full/nature11404.html,Subtype_Curated_Malta_Noushmehr_et_al,LUSC,Lung squamous cell carcinoma (LUSC)
LUSC.classical,#377EB8,LUSC.classical,Nature 2012 ; http://www.nature.com/nature/journal/v489/n7417/full/nature11404.html,Subtype_Curated_Malta_Noushmehr_et_al,LUSC,Lung squamous cell carcinoma (LUSC)
LUSC.primitive,#4DAF4A,LUSC.primitive,Nature 2012 ; http://www.nature.com/nature/journal/v489/n7417/full/nature11404.html,Subtype_Curated_Malta_Noushmehr_et_al,LUSC,Lung squamous cell carcinoma (LUSC)
LUSC.secretory,#984EA3,LUSC.secretory,Nature 2012 ; http://www.nature.com/nature/journal/v489/n7417/full/nature11404.html,Subtype_Curated_Malta_Noushmehr_et_al,LUSC,Lung squamous cell carcinoma (LUSC)
OVCA.Differentiated,#E41A1C,OVCA.Differentiated,Nature 2011 ; http://www.nature.com/nature/journal/v474/n7353/full/nature10166.html,Subtype_Curated_Malta_Noushmehr_et_al,OV,Ovarian serous cystadenocarcinoma (OV)
OVCA.Immunoreactive,#377EB8,OVCA.Immunoreactive,Nature 2011 ; http://www.nature.com/nature/journal/v474/n7353/full/nature10166.html,Subtype_Curated_Malta_Noushmehr_et_al,OV,Ovarian serous cystadenocarcinoma (OV)
OVCA.Mesenchymal,#4DAF4A,OVCA.Mesenchymal,Nature 2011 ; http://www.nature.com/nature/journal/v474/n7353/full/nature10166.html,Subtype_Curated_Malta_Noushmehr_et_al,OV,Ovarian serous cystadenocarcinoma (OV)
OVCA.Proliferative,#984EA3,OVCA.Proliferative,Nature 2011 ; http://www.nature.com/nature/journal/v474/n7353/full/nature10166.html,Subtype_Curated_Malta_Noushmehr_et_al,OV,Ovarian serous cystadenocarcinoma (OV)
PCPG.Cortical admixture,#E41A1C,PCPG.Cortical admixture,Cancer Cell 2017 ; http://www.cell.com/cancer-cell/fulltext/S1535-6108(17)30001-6,Subtype_Curated_Malta_Noushmehr_et_al,PCPG,Pheochromocytoma and Paraganglioma (PCPG)
PCPG.Kinase signaling,#377EB8,PCPG.Kinase signaling,Cancer Cell 2017 ; http://www.cell.com/cancer-cell/fulltext/S1535-6108(17)30001-6,Subtype_Curated_Malta_Noushmehr_et_al,PCPG,Pheochromocytoma and Paraganglioma (PCPG)
PCPG.Pseudohypoxia,#4DAF4A,PCPG.Pseudohypoxia,Cancer Cell 2017 ; http://www.cell.com/cancer-cell/fulltext/S1535-6108(17)30001-6,Subtype_Curated_Malta_Noushmehr_et_al,PCPG,Pheochromocytoma and Paraganglioma (PCPG)
PCPG.Wnt-altered,#984EA3,PCPG.Wnt-altered,Cancer Cell 2017 ; http://www.cell.com/cancer-cell/fulltext/S1535-6108(17)30001-6,Subtype_Curated_Malta_Noushmehr_et_al,PCPG,Pheochromocytoma and Paraganglioma (PCPG)
PRAD.1-ERG,#E41A1C,PRAD.1-ERG,Cell 2015 ; http://www.cell.com/cell/abstract/S0092-8674(15)01339-2,Subtype_Curated_Malta_Noushmehr_et_al,PRAD,Prostate adenocarcinoma (PRAD)
PRAD.2-ETV1,#377EB8,PRAD.2-ETV1,Cell 2015 ; http://www.cell.com/cell/abstract/S0092-8674(15)01339-2,Subtype_Curated_Malta_Noushmehr_et_al,PRAD,Prostate adenocarcinoma (PRAD)
PRAD.3-ETV4,#4DAF4A,PRAD.3-ETV4,Cell 2015 ; http://www.cell.com/cell/abstract/S0092-8674(15)01339-2,Subtype_Curated_Malta_Noushmehr_et_al,PRAD,Prostate adenocarcinoma (PRAD)
PRAD.4-FLI1,#984EA3,PRAD.4-FLI1,Cell 2015 ; http://www.cell.com/cell/abstract/S0092-8674(15)01339-2,Subtype_Curated_Malta_Noushmehr_et_al,PRAD,Prostate adenocarcinoma (PRAD)
PRAD.5-SPOP,#FF7F00,PRAD.5-SPOP,Cell 2015 ; http://www.cell.com/cell/abstract/S0092-8674(15)01339-2,Subtype_Curated_Malta_Noushmehr_et_al,PRAD,Prostate adenocarcinoma (PRAD)
PRAD.6-FOXA1,#FFFF33,PRAD.6-FOXA1,Cell 2015 ; http://www.cell.com/cell/abstract/S0092-8674(15)01339-2,Subtype_Curated_Malta_Noushmehr_et_al,PRAD,Prostate adenocarcinoma (PRAD)
PRAD.7-IDH1,#A65628,PRAD.7-IDH1,Cell 2015 ; http://www.cell.com/cell/abstract/S0092-8674(15)01339-2,Subtype_Curated_Malta_Noushmehr_et_al,PRAD,Prostate adenocarcinoma (PRAD)
PRAD.8-other,#F781BF,PRAD.8-other,Cell 2015 ; http://www.cell.com/cell/abstract/S0092-8674(15)01339-2,Subtype_Curated_Malta_Noushmehr_et_al,PRAD,Prostate adenocarcinoma (PRAD)
SKCM.-,#E41A1C,SKCM.-,Cell 2015 ; http://www.cell.com/cell/abstract/S0092-8674(15)00634-0,Subtype_Curated_Malta_Noushmehr_et_al,SKCM,Skin Cutaneous Melanoma (SKCM)
SKCM.BRAF_Hotspot_Mutants,#377EB8,SKCM.BRAF_Hotspot_Mutants,Cell 2015 ; http://www.cell.com/cell/abstract/S0092-8674(15)00634-0,Subtype_Curated_Malta_Noushmehr_et_al,SKCM,Skin Cutaneous Melanoma (SKCM)
SKCM.NF1_Any_Mutants,#4DAF4A,SKCM.NF1_Any_Mutants,Cell 2015 ; http://www.cell.com/cell/abstract/S0092-8674(15)00634-0,Subtype_Curated_Malta_Noushmehr_et_al,SKCM,Skin Cutaneous Melanoma (SKCM)
SKCM.RAS_Hotspot_Mutants,#984EA3,SKCM.RAS_Hotspot_Mutants,Cell 2015 ; http://www.cell.com/cell/abstract/S0092-8674(15)00634-0,Subtype_Curated_Malta_Noushmehr_et_al,SKCM,Skin Cutaneous Melanoma (SKCM)
SKCM.Triple_WT,#FF7F00,SKCM.Triple_WT,Cell 2015 ; http://www.cell.com/cell/abstract/S0092-8674(15)00634-0,Subtype_Curated_Malta_Noushmehr_et_al,SKCM,Skin Cutaneous Melanoma (SKCM)
THCA.,#E41A1C,THCA.,Cell 2014 ; http://www.cell.com/cell/fulltext/S0092-8674(14)01238-0#,Subtype_Curated_Malta_Noushmehr_et_al,THCA,Thyroid carcinoma (THCA)
THCA.1,#377EB8,THCA.1,Cell 2014 ; http://www.cell.com/cell/fulltext/S0092-8674(14)01238-0#,Subtype_Curated_Malta_Noushmehr_et_al,THCA,Thyroid carcinoma (THCA)
THCA.2,#4DAF4A,THCA.2,Cell 2014 ; http://www.cell.com/cell/fulltext/S0092-8674(14)01238-0#,Subtype_Curated_Malta_Noushmehr_et_al,THCA,Thyroid carcinoma (THCA)
THCA.3,#984EA3,THCA.3,Cell 2014 ; http://www.cell.com/cell/fulltext/S0092-8674(14)01238-0#,Subtype_Curated_Malta_Noushmehr_et_al,THCA,Thyroid carcinoma (THCA)
THCA.4,#FF7F00,THCA.4,Cell 2014 ; http://www.cell.com/cell/fulltext/S0092-8674(14)01238-0#,Subtype_Curated_Malta_Noushmehr_et_al,THCA,Thyroid carcinoma (THCA)
THCA.5,#FFFF33,THCA.5,Cell 2014 ; http://www.cell.com/cell/fulltext/S0092-8674(14)01238-0#,Subtype_Curated_Malta_Noushmehr_et_al,THCA,Thyroid carcinoma (THCA)
UCEC.,#E41A1C,UCEC.,Nature 2013 ; http://www.nature.com/nature/journal/v497/n7447/full/nature12113.html,Subtype_Curated_Malta_Noushmehr_et_al,UCEC,Uterine Corpus Endometrial Carcinoma (UCEC)
UCEC.CN_HIGH,#377EB8,UCEC.CN_HIGH,Nature 2013 ; http://www.nature.com/nature/journal/v497/n7447/full/nature12113.html,Subtype_Curated_Malta_Noushmehr_et_al,UCEC,Uterine Corpus Endometrial Carcinoma (UCEC)
UCEC.CN_LOW,#4DAF4A,UCEC.CN_LOW,Nature 2013 ; http://www.nature.com/nature/journal/v497/n7447/full/nature12113.html,Subtype_Curated_Malta_Noushmehr_et_al,UCEC,Uterine Corpus Endometrial Carcinoma (UCEC)
UCEC.MSI,#984EA3,UCEC.MSI,Nature 2013 ; http://www.nature.com/nature/journal/v497/n7447/full/nature12113.html,Subtype_Curated_Malta_Noushmehr_et_al,UCEC,Uterine Corpus Endometrial Carcinoma (UCEC)
UCEC.POLE,#FF7F00,UCEC.POLE,Nature 2013 ; http://www.nature.com/nature/journal/v497/n7447/full/nature12113.html,Subtype_Curated_Malta_Noushmehr_et_al,UCEC,Uterine Corpus Endometrial Carcinoma (UCEC)
UCS.1,#E41A1C,UCS.1,Cancer Cell 2017 ; http://www.cell.com/cancer-cell/fulltext/S1535-6108(17)30053-3,Subtype_Curated_Malta_Noushmehr_et_al,UCS,Uterine Carcinosarcoma (UCS)
UCS.2,#377EB8,UCS.2,Cancer Cell 2017 ; http://www.cell.com/cancer-cell/fulltext/S1535-6108(17)30053-3,Subtype_Curated_Malta_Noushmehr_et_al,UCS,Uterine Carcinosarcoma (UCS)
